community_code,week_start,rpt_comm_pace_status,black_homesites,red_homesites,yellow_homesites,green_homesites,dirt_homesites
00001,2024-08-05,Very Behind Pace,9,2,1,6,7
00001,2024-08-12,Very Ahead of Pace,9,3,4,19,14
00001,2024-08-19,On Pace,7,3,4,13,12
00001,2024-08-26,Ahead of Pace,0,1,3,12,13
00001,2024-09-02,Very Behind Pace,10,0,0,17,20
00001,2024-09-09,Ahead of Pace,4,0,3,1,5
00001,2024-09-16,Very Behind Pace,3,2,4,15,28
00001,2024-09-23,Behind Pace,8,4,2,14,10
00001,2024-09-30,Very Ahead of Pace,3,2,2,0,18
00001,2024-10-07,Behind Pace,9,4,4,8,25
00001,2024-10-14,On Pace,0,1,1,14,30
00001,2024-10-21,Behind Pace,0,2,4,9,5
00001,2024-10-28,Behind Pace,0,2,0,16,6
00001,2024-11-04,Ahead of Pace,0,1,2,8,16
00001,2024-11-11,Behind Pace,1,5,1,13,9
00001,2024-11-18,Very Behind Pace,2,5,0,8,14
00001,2024-11-25,Behind Pace,8,2,3,12,19
00001,2024-12-02,Ahead of Pace,5,2,0,11,13
00001,2024-12-09,On Pace,9,2,0,15,18
00001,2024-12-16,Behind Pace,1,0,3,8,23
00001,2024-12-23,On Pace,1,1,0,6,9
00001,2024-12-30,Behind Pace,3,0,2,8,28
00001,2025-01-06,Behind Pace,7,0,0,11,21
00001,2025-01-13,On Pace,1,2,0,3,15
00001,2025-01-20,Ahead of Pace,5,5,0,11,15
00001,2025-01-27,On Pace,0,2,0,14,13
00001,2025-02-03,Behind Pace,9,2,2,21,9
00001,2025-02-10,Ahead of Pace,0,4,0,2,21
00001,2025-02-17,Ahead of Pace,0,0,2,15,9
00001,2025-02-24,Very Behind Pace,4,4,2,4,0
00001,2025-03-03,Very Ahead of Pace,5,0,1,6,8
00001,2025-03-10,Ahead of Pace,0,4,5,15,17
00001,2025-03-17,On Pace,7,2,1,3,10
00001,2025-03-24,Behind Pace,3,6,1,5,17
00001,2025-03-31,Ahead of Pace,2,3,5,15,0
00001,2025-04-07,On Pace,0,0,1,3,5
00001,2025-04-14,Very Behind Pace,0,0,2,13,27
00001,2025-04-21,Very Behind Pace,4,2,1,3,6
00001,2025-04-28,Very Ahead of Pace,7,4,2,7,13
00001,2025-05-05,On Pace,2,0,1,13,11
00001,2025-05-12,Behind Pace,2,3,2,7,13
00001,2025-05-19,Ahead of Pace,6,1,1,7,24
00001,2025-05-26,Behind Pace,10,3,6,12,9
00001,2025-06-02,On Pace,0,7,5,7,15
00001,2025-06-09,Ahead of Pace,3,3,0,11,16
00001,2025-06-16,On Pace,3,2,4,6,17
00001,2025-06-23,Behind Pace,11,8,1,14,12
00001,2025-06-30,Behind Pace,0,0,0,12,12
00001,2025-07-07,Behind Pace,4,0,4,13,10
00001,2025-07-14,Very Ahead of Pace,7,0,3,9,18
00001,2025-07-21,On Pace,7,0,0,13,17
00001,2025-07-28,Ahead of Pace,0,2,4,14,17
00001,2025-08-04,On Pace,2,0,1,12,22
00002,2024-08-05,Ahead of Pace,2,0,1,9,23
00002,2024-08-12,On Pace,11,0,1,11,7
00002,2024-08-19,Behind Pace,5,1,2,15,2
00002,2024-08-26,Behind Pace,4,6,3,4,6
00002,2024-09-02,Very Behind Pace,0,6,2,10,20
00002,2024-09-09,Behind Pace,5,0,5,0,18
00002,2024-09-16,Behind Pace,6,5,4,11,18
00002,2024-09-23,Ahead of Pace,7,0,2,10,7
00002,2024-09-30,Very Ahead of Pace,4,3,1,3,6
00002,2024-10-07,Behind Pace,4,0,2,10,13
00002,2024-10-14,Behind Pace,3,4,0,2,15
00002,2024-10-21,Ahead of Pace,0,3,1,14,14
00002,2024-10-28,Behind Pace,0,2,1,14,19
00002,2024-11-04,Ahead of Pace,11,0,2,6,12
00002,2024-11-11,Ahead of Pace,9,7,0,6,28
00002,2024-11-18,Very Behind Pace,10,5,0,15,5
00002,2024-11-25,Very Behind Pace,6,1,3,15,20
00002,2024-12-02,Behind Pace,0,0,0,4,15
00002,2024-12-09,Behind Pace,4,6,5,15,10
00002,2024-12-16,On Pace,7,5,0,12,8
00002,2024-12-23,Behind Pace,1,0,0,4,9
00002,2024-12-30,Very Ahead of Pace,2,6,5,19,7
00002,2025-01-06,Behind Pace,5,0,1,4,15
00002,2025-01-13,Behind Pace,3,2,1,15,2
00002,2025-01-20,On Pace,0,7,0,10,8
00002,2025-01-27,On Pace,9,8,1,14,26
00002,2025-02-03,On Pace,0,0,3,12,17
00002,2025-02-10,On Pace,4,6,0,5,19
00002,2025-02-17,Very Ahead of Pace,6,4,3,10,15
00002,2025-02-24,Very Ahead of Pace,3,6,1,5,12
00002,2025-03-03,On Pace,10,2,2,16,6
00002,2025-03-10,Behind Pace,7,2,0,11,17
00002,2025-03-17,Ahead of Pace,3,5,2,11,21
00002,2025-03-24,On Pace,7,0,3,8,17
00002,2025-03-31,Very Ahead of Pace,4,5,0,14,19
00002,2025-04-07,Very Ahead of Pace,6,5,5,3,15
00002,2025-04-14,On Pace,9,0,2,14,6
00002,2025-04-21,On Pace,4,3,5,7,23
00002,2025-04-28,Ahead of Pace,7,0,3,7,11
